"avg_rating","creator","downloads","identifier","publisher","subject","title","year"
"","","2","kalki1947-03-16","","Magazine,Tamil Magazine","Kalki Magazine 1947-03-16","1947"
"","","2","kalki19460210","","Magazine,Tamil Magazine","Kalki Magazine 1946-02-10","1946"
"","Vincy Quadras","13","kanasan0000vinc","SnojPrakashan","","Kanasan","2011"
"","ಬಿ. ಎಸ್. ಸಣ್ಣಯ್ಯ","43","kannadahastaprat0000bssa_r0r0","ಕನ್ನಡ ಅಧ್ಯಯನ ಕೇಂದ್ರ, ಮೈಸೂರು ವಿಶ್ವವಿದ್ಯಾಲಯ","ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಕನ್ನಡ ಹಸ್ತಪ್ರತಿಗಳ ವರ್ಣನಾತ್ಮಕ ಸೂಚೀ (ಏಳನೆಯ ಸಂಪುಟ ಬ-ಲ)","1980"
"","ಶ್ರೀನಿವಾಸ ಹಾವನೂರ","74","kannadapatrikasu0000srin","ಪ್ರಸಾರಾಂಗ, ಮಾನಸಗಂಗೋತ್ರಿ, ಮೈಸೂರು ವಿಶ್ವವಿದ್ಯಾನಿಲಯ","ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಕನ್ನಡ ಪತ್ರಿಕಾ ಸೂಚಿ","2004"
"","B. S. Madhava Rao","20","journalofmysoreu0000bsma_b2n5","The Bangalore Press","","Journal Of The Mysore University Notes On Dynamics - 2","1944"
"","ରାମମନୋହର ଲୋହିଆ,Krishna Chandra Panigrahi,Kr̥ṣṇacandra Pāṇigrāhī,ଯତୀନ୍ଦ୍ର ମୋହନ ମହାନ୍ତି,Ram Manohar Lohia,Jatindra Mohan Mohanty Tr.,Rām Manohar Lohiā, Ẏatindra Mohan Mohāntẏ","3","itihasara-chakra-1970","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","ଇତିହାସର ଚକ୍ର","1970"
"","सं: रवीन्द्र केळेकार","9","jaagjanuary0000unse_w6z6","","","जाग - जानेवारी २००१","2001"
"","सं: रवीन्द्र केळेकार","10","jaagmarch0000unse_f3g5","","","जाग - मार्च २०००","2000"
"","","6","j4790000unse","","","J 479","1937"
"","ಮಾರಿಯೊ ಪೂಜೊ ಅನು: ವೊಲ್ಟರ್ ಲಸ್ರಾದೊ","12","mafiyapodorn0000mari","Divo Prakashan","","ಮಾಫಿಯಾ ಪೊದೊರ್ನ್","1995"
"","VASU VALENCIA","12","judasankkurov0000vasu","","","JUDASANK KUROV",""
"","श्री श्रीनिवास प्रभूदेसाय","15","kapi0000shri","Abu prakashan","","कपी","2001"
"","","41","kasthurimarch1960000unse_r5s9","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಮಾರ್ಚ್ 1967","1967"
"","","33","kasthurinovember0000unse","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ನವೆಂಬರ್ 1961","1961"
"","","37","kasthuriseptembe0000unse_d7u4","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಸೆಪ್ಟೆಂಬರ್ 1962","1962"
"","ಗ್ಲೇಡಿಸ್ ರೇಗೊ","16","kallzantleyaad0000glad","Akaash Prakashan","","ಕಾಳ್ಜಾಂತ್ಲೆ ಯಾದ್..","2006"
"","","2","kalki1948-02-01","","Magazine,Tamil Magazine","Kalki Magazine 1948-02-01","1948"
"","","4","kalki1948-05-16","","Magazine,Tamil Magazine","Kalki Magazine 1948-05-16","1948"
